QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
49,Planes,S24_2841,2/17/2003 0:00
41,Planes,S24_2841,4/28/2003 0:00
35,Planes,S24_2841,6/16/2003 0:00
27,Planes,S24_2841,8/10/2003 0:00
23,Planes,S24_2841,10/6/2003 0:00
21,Planes,S24_2841,10/23/2003 0:00
34,Planes,S24_2841,11/8/2003 0:00
22,Planes,S24_2841,11/14/2003 0:00
48,Planes,S24_2841,11/27/2003 0:00
43,Planes,S24_2841,1/9/2004 0:00
32,Planes,S24_2841,2/19/2004 0:00
20,Planes,S24_2841,5/8/2004 0:00
24,Planes,S24_2841,6/24/2004 0:00
40,Planes,S24_2841,7/21/2004 0:00
30,Planes,S24_2841,8/21/2004 0:00
21,Planes,S24_2841,9/15/2004 0:00
25,Planes,S24_2841,10/14/2004 0:00
34,Planes,S24_2841,11/1/2004 0:00
48,Planes,S24_2841,11/12/2004 0:00
55,Planes,S24_2841,11/23/2004 0:00
25,Planes,S24_2841,12/3/2004 0:00
38,Planes,S24_2841,1/31/2005 0:00
39,Planes,S24_2841,3/1/2005 0:00
28,Planes,S24_2841,3/30/2005 0:00
24,Planes,S24_2841,4/1/2005 0:00
21,Planes,S24_2841,5/9/2005 0:00
