QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
31,Planes,S700_1691,2/17/2003 0:00
47,Planes,S700_1691,4/29/2003 0:00
24,Planes,S700_1691,6/27/2003 0:00
36,Planes,S700_1691,8/10/2003 0:00
48,Planes,S700_1691,10/8/2003 0:00
28,Planes,S700_1691,10/28/2003 0:00
48,Planes,S700_1691,12/1/2003 0:00
21,Planes,S700_1691,1/12/2004 0:00
25,Planes,S700_1691,2/20/2004 0:00
25,Planes,S700_1691,4/2/2004 0:00
31,Planes,S700_1691,5/11/2004 0:00
40,Planes,S700_1691,6/24/2004 0:00
32,Planes,S700_1691,7/23/2004 0:00
24,Planes,S700_1691,8/21/2004 0:00
42,Planes,S700_1691,9/15/2004 0:00
21,Planes,S700_1691,10/15/2004 0:00
34,Planes,S700_1691,11/1/2004 0:00
27,Planes,S700_1691,11/12/2004 0:00
30,Planes,S700_1691,11/24/2004 0:00
39,Planes,S700_1691,12/4/2004 0:00
20,Planes,S700_1691,12/17/2004 0:00
37,Planes,S700_1691,2/3/2005 0:00
46,Planes,S700_1691,3/3/2005 0:00
47,Planes,S700_1691,3/30/2005 0:00
11,Planes,S700_1691,4/3/2005 0:00
23,Planes,S700_1691,5/10/2005 0:00
