QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
22,Ships,S700_3962,2/11/2003 0:00
45,Ships,S700_3962,4/16/2003 0:00
30,Ships,S700_3962,6/12/2003 0:00
38,Ships,S700_3962,8/8/2003 0:00
20,Ships,S700_3962,9/28/2003 0:00
28,Ships,S700_3962,10/23/2003 0:00
24,Ships,S700_3962,11/7/2003 0:00
22,Ships,S700_3962,11/14/2003 0:00
35,Ships,S700_3962,11/26/2003 0:00
33,Ships,S700_3962,1/2/2004 0:00
31,Ships,S700_3962,2/19/2004 0:00
35,Ships,S700_3962,3/20/2004 0:00
35,Ships,S700_3962,5/7/2004 0:00
50,Ships,S700_3962,6/17/2004 0:00
26,Ships,S700_3962,7/21/2004 0:00
38,Ships,S700_3962,8/20/2004 0:00
45,Ships,S700_3962,9/10/2004 0:00
30,Ships,S700_3962,10/14/2004 0:00
37,Ships,S700_3962,10/29/2004 0:00
37,Ships,S700_3962,11/10/2004 0:00
36,Ships,S700_3962,11/21/2004 0:00
25,Ships,S700_3962,12/2/2004 0:00
37,Ships,S700_3962,1/31/2005 0:00
30,Ships,S700_3962,3/1/2005 0:00
36,Ships,S700_3962,3/28/2005 0:00
27,Ships,S700_3962,5/6/2005 0:00
