QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
25,Vintage Cars,S18_2325,1/9/2003 0:00
33,Vintage Cars,S18_2325,3/18/2003 0:00
42,Vintage Cars,S18_2325,5/21/2003 0:00
33,Vintage Cars,S18_2325,9/12/2003 0:00
38,Vintage Cars,S18_2325,10/18/2003 0:00
31,Vintage Cars,S18_2325,11/5/2003 0:00
20,Vintage Cars,S18_2325,11/12/2003 0:00
44,Vintage Cars,S18_2325,11/21/2003 0:00
26,Vintage Cars,S18_2325,12/2/2003 0:00
27,Vintage Cars,S18_2325,1/26/2004 0:00
46,Vintage Cars,S18_2325,3/2/2004 0:00
47,Vintage Cars,S18_2325,4/26/2004 0:00
37,Vintage Cars,S18_2325,8/17/2004 0:00
31,Vintage Cars,S18_2325,9/1/2004 0:00
24,Vintage Cars,S18_2325,10/11/2004 0:00
31,Vintage Cars,S18_2325,10/21/2004 0:00
50,Vintage Cars,S18_2325,11/4/2004 0:00
35,Vintage Cars,S18_2325,11/17/2004 0:00
30,Vintage Cars,S18_2325,11/25/2004 0:00
29,Vintage Cars,S18_2325,12/9/2004 0:00
27,Vintage Cars,S18_2325,1/12/2005 0:00
40,Vintage Cars,S18_2325,2/16/2005 0:00
31,Vintage Cars,S18_2325,3/4/2005 0:00
6,Vintage Cars,S18_2325,4/23/2005 0:00
45,Vintage Cars,S18_2325,5/29/2005 0:00
