QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
34,Planes,S700_2466,2/17/2003 0:00
24,Planes,S700_2466,4/29/2003 0:00
40,Planes,S700_2466,6/16/2003 0:00
26,Planes,S700_2466,8/10/2003 0:00
20,Planes,S700_2466,10/6/2003 0:00
31,Planes,S700_2466,10/28/2003 0:00
22,Planes,S700_2466,11/8/2003 0:00
42,Planes,S700_2466,11/27/2003 0:00
26,Planes,S700_2466,1/12/2004 0:00
37,Planes,S700_2466,2/19/2004 0:00
38,Planes,S700_2466,4/2/2004 0:00
35,Planes,S700_2466,5/11/2004 0:00
33,Planes,S700_2466,6/24/2004 0:00
39,Planes,S700_2466,7/23/2004 0:00
45,Planes,S700_2466,8/21/2004 0:00
24,Planes,S700_2466,9/15/2004 0:00
35,Planes,S700_2466,10/15/2004 0:00
23,Planes,S700_2466,11/1/2004 0:00
37,Planes,S700_2466,11/12/2004 0:00
55,Planes,S700_2466,11/24/2004 0:00
49,Planes,S700_2466,12/3/2004 0:00
26,Planes,S700_2466,12/17/2004 0:00
33,Planes,S700_2466,2/3/2005 0:00
37,Planes,S700_2466,3/1/2005 0:00
22,Planes,S700_2466,3/30/2005 0:00
85,Planes,S700_2466,4/3/2005 0:00
22,Planes,S700_2466,5/10/2005 0:00
