QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
31,Motorcycles,S32_4485,3/3/2003 0:00
25,Motorcycles,S32_4485,5/7/2003 0:00
30,Motorcycles,S32_4485,7/2/2003 0:00
27,Motorcycles,S32_4485,8/25/2003 0:00
23,Motorcycles,S32_4485,10/10/2003 0:00
34,Motorcycles,S32_4485,11/4/2003 0:00
22,Motorcycles,S32_4485,11/11/2003 0:00
42,Motorcycles,S32_4485,11/19/2003 0:00
37,Motorcycles,S32_4485,1/15/2004 0:00
30,Motorcycles,S32_4485,2/21/2004 0:00
27,Motorcycles,S32_4485,4/5/2004 0:00
25,Motorcycles,S32_4485,5/26/2004 0:00
34,Motorcycles,S32_4485,6/30/2004 0:00
38,Motorcycles,S32_4485,8/2/2004 0:00
26,Motorcycles,S32_4485,8/27/2004 0:00
38,Motorcycles,S32_4485,9/30/2004 0:00
50,Motorcycles,S32_4485,10/15/2004 0:00
22,Motorcycles,S32_4485,11/3/2004 0:00
32,Motorcycles,S32_4485,11/17/2004 0:00
31,Motorcycles,S32_4485,11/24/2004 0:00
40,Motorcycles,S32_4485,12/7/2004 0:00
22,Motorcycles,S32_4485,1/7/2005 0:00
41,Motorcycles,S32_4485,2/3/2005 0:00
45,Motorcycles,S32_4485,3/4/2005 0:00
45,Motorcycles,S32_4485,4/8/2005 0:00
